2026-08-22	carney-matches-washingtons-fifty-percent	world	fact	tariffs,trade-policy	Carney Matches Washington’s Fifty Percent
2026-08-21	ghana-gridco-still-on-a-temporary-room	world	inference	supply-chains	GRIDCo Is Still on a Temporary Room
2026-08-20	liberia-lands-the-first-twenty	world	fact	us-immigration	Liberia Lands the First Twenty
2026-08-19	moderna-melanoma-shot-clears-phase-3	world	fact	earnings	Moderna’s Melanoma Shot Clears Phase 3
2026-08-18	liberia-will-take-1200-third-country-removals	world	fact	us-immigration	Liberia Will Take 1,200 Third-Country Removals
2026-08-17	japans-quarter-runs-on-net-exports	world	inference	central-banks,rates,inflation	Japan’s Quarter Runs on Net Exports
2026-08-16	nsw-sets-a-price-on-excess-firearms	world	inference	constitutional-law	NSW Sets a Price on Excess Firearms
2026-08-15	lala-splits-hawaiis-transport-map	world	inference	natural-disasters,shipping,supply-chains	Lala Splits Hawaiʻi’s Transport Map
2026-08-14	rain-cuts-narita-off-from-the-ground	world	inference	natural-disasters,supply-chains	Rain Cuts Narita Off From the Ground
2026-08-13	the-danube-closes-the-second-reactor	world	inference	nuclear-power,supply-chains	Danube Shuts Cernavodă’s Second Unit
2026-08-12	australia-prices-the-accepted-job	markets	inference	platform-work,payments	Australia Prices the Accepted Job
2026-08-11	coreweave-has-104-billion-waiting-for-power	markets	inference	ai-compute,compute,earnings	CoreWeave Has $104 Billion Waiting for Power
2026-08-10	confederations-demand-fifas-books	politics	inference	world-cup,sport,mega-events,attention-economy	Confederations Demand FIFA’s Books
2026-08-09	the-ai-tablet-barely-moved-the-basket	markets	inference	inflation,china-ai,ai-compute	Tablets Barely Moved China’s CPI
2026-08-07	the-rate-fell-with-the-denominator	markets	fact	rates,central-banks,inflation	July Unemployment Rate Falls to 4.1%
2026-08-04	fuego-drives-evacuations-across-five-ravines	world	inference	latin-america,natural-disasters	Fuego’s five ravines force evacuations
2026-08-02	india-puts-exam-fraud-on-a-two-month-clock	world	inference	constitutional-law	Exam fraud gets two-month probe clock
2026-08-01	unitree-turns-the-humanoid-race-into-stock	world	forecast	robotics,ipos,china-ai	China’s Unitree Takes Humanoids Public
2026-07-31	brazil-starts-the-sixty-day-clock	world	inference	latin-america,tariffs,trade-policy,supply-chains	Brazil Starts WTO's 60-Day Clock
2026-07-31	europe-opens-the-gigafactory-tender	world	inference	compute,ai-compute,ai-geopolitics,european-union,semiconductors,supply-chains	Europe Opens the Compute Tender
2026-07-30	low-water-rations-the-reactors	world	inference	nuclear-power,supply-chains	Low Water Rations the Reactors
2026-07-29	two-stocks-carry-a-market-break	world	inference	earnings,semiconductors,ai-compute	Two Chip Stocks Carry Korea’s Break
2026-07-28	jasm-restarts-under-an-aftershock-clock	world	inference	natural-disasters,semiconductors,supply-chains	JASM Restarts Under an Aftershock Clock
2026-07-27	snow-closes-the-andean-ledger	world	inference	argentina,supply-chains,natural-disasters,critical-minerals	Snow Closes the Andean Ledger
2026-07-26	ebola-response-breaks-on-the-payroll-line	world	inference	supply-chains	Ebola Breaks on the Payroll Line
2026-07-25	ebolavirus-stockpile-waits-for-evidence	world	inference	supply-chains	An Ebola Stockpile Waits for Evidence
2026-07-23	ebolas-second-count-is-the-missing-count	world	inference	natural-disasters	Congo’s Ebola count passes 1,000 deaths
2026-07-23	the-sarb-keeps-seven-in-the-chamber	tape	inference	central-banks,rates,inflation	The SARB keeps 7% in the chamber
2026-07-22	jakarta-holds-the-rate-and-moves-the-plumbing	tape	inference	central-banks,rates,inflation	Jakarta holds the rate and moves the plumbing
2026-07-21	the-chips-buy-the-dip	markets	inference	semiconductors,ai-compute,open-weight-models,earnings	Semiconductors Rebound Off Lows
2026-07-20	the-chips-come-off-the-boil	markets	inference	semiconductors,ai-compute,open-weight-models,china-ai	Chip index falls into correction
2026-07-19	supply-shock-derating	markets	inference	oil,semiconductors,ai-compute,central-banks,rates,inflation	Oil advances as semiconductors de-rate
2026-07-18	bok-chip-cycle	markets	inference	central-banks,rates,semiconductors,ai-compute,inflation	Bank of Korea hikes on chip strength
2026-07-17	tape-chip-divergence	markets	inference	semiconductors,ai-compute,oil,strait-of-hormuz	Oil Squeezes the AI Chip Premium
2026-07-16	tape-semis-and-strait	markets	inference	semiconductors,oil,ai-compute,strait-of-hormuz	SK Hynix Reversal Hits AI Trade
2026-07-15	tape-hbm-supercycle	markets	inference	semiconductors,ai-compute	Korea Powers the HBM Supercycle
2026-07-14	tape-cpi-oil	markets	inference	inflation,rates,oil,semiconductors,central-banks	Soft CPI Wins the Session
2026-07-13	tape-oil-shock	markets	inference	oil,semiconductors,rates,central-banks	Oil Reprices Monday’s Market
2026-07-12	tape-frozen	markets	inference	semiconductors,oil,rates,central-banks	SK Hynix Lands at $170 on Its US Debut
2026-07-11	skhynix-close	markets	fact	semiconductors,ai-compute,ipos,compute	AI Memory's Record Debut Closes Up 13%
2026-07-10	skhynix-debut	markets	fact	semiconductors,ai-compute,ipos,compute	AI Memory Lands Its Record Nasdaq Debut
2026-07-09	skhynix-record-listing	markets	fact	semiconductors,ai-compute,ipos,compute	A Record Listing Bets on AI Memory
2026-07-08	fomc-hawkish	markets	forecast	central-banks,rates,inflation	Fed Minutes Revive September Hike Bets
2026-07-07	minutes-eve	markets	forecast	semiconductors,central-banks,rates,inflation	Semiconductor Rally Outruns Breadth
2026-07-06	reopen-tape	markets	forecast	semiconductors,ai-compute,central-banks,rates,oil	Chip Reopen Sorts Winners Monday
2026-07-05	tape-regime	markets	forecast	central-banks,rates,semiconductors,ai-compute	Jobs miss rewires Fed and chip tape
2026-07-04	yen-coordination	markets	forecast	central-banks,rates,inflation	Yen Defence Turns to Washington
2026-07-03	yen-reprieve	markets	forecast	central-banks,rates,inflation	Yen Reprieve Faces Rate-Gap Test
2026-07-02	yen-ambush	markets	forecast	central-banks,rates	Japan Shifts to Ambush Yen Defence
2026-07-01	yen-40yr	markets	fact	central-banks,rates,inflation	Yen hits 40-year low at 162.84 vs dollar
2026-06-30	venezuela-quake-week	world	fact	latin-america,natural-disasters	Venezuela’s quake dead pass 1,700 a week on
2026-06-29	venezuela-quake	world	fact	latin-america,natural-disasters	Venezuela's death toll passes 1,450 after twin June quakes Hundreds of buildings collapsed as international rescuers join a strained response
2026-06-28	europe-heatwave	world	fact	food-security,supply-chains,inflation	Record June heat blankets Western Europe infrastructure and labour take the hit
2026-06-24	compute-territory	markets	inference	compute,ai-compute,nuclear-power,semiconductors	Compute Becomes Territory The AI Bottleneck Leaves the Cloud
2026-06-23	ras-laffan-thirteen	markets	inference	oil,strait-of-hormuz,maritime-security	Qatar Raises Death Toll to Thirteen in Ras Laffan Explosion Barzan Domestic Facility Blast Leaves LNG Exports Unaffected
2026-06-22	the-mediators-gas-hub	markets	inference	oil,strait-of-hormuz,maritime-security	Local Accident Global Hub
2026-06-20	the-budget-war	markets	inference	ukraine,food-security,shipping,inflation	The budget war inside the grain war
2026-06-19	the-hawkish-hold	markets	inference	central-banks,rates,inflation	The Hawkish Hold Warsh Makes the Fed Harder to Read
2026-06-18	grain-not-drones	markets	inference	supply-chains,shipping,inflation,war-risk-insurance,europe-defense	Ukraine’s grain front moves to the budget line
2026-06-17	the-managed-access-template	geopolitics	inference	critical-minerals,supply-chains,export-controls,europe-defense,frontier-models	Évian normalized managed access without building the machine
2026-06-16	the-price-floor-bloc	markets	inference	critical-minerals,supply-chains,export-controls,europe-defense,china-ai	The price-floor bloc tries to price China out
2026-06-15	spacex-thin-float-engine	markets	inference	spacex,ipos,ai-compute,space,elon-musk,wealth-concentration	SpaceX’s record IPO now trades on the thin-float machine
2026-06-14	spacex-compute-landlord	markets	inference	spacex,ipos,ai-compute,space,elon-musk,wealth-concentration	SpaceX went public as a compute landlord Musk still controls
2026-06-13	three-central-banks	markets	inference	central-banks,inflation,rates	Three central banks decide what kind of shock this was
